   r (kpc/h)    Vrot   N(i)  Vrot(measured)   %error        Vcirc       Vc%error       vphirms/vphirm_th Vr_rms/Vr_rms_th   Vz_rms/Vz_rms_th  
    0.00280    0.00000    0.00000    0.00000        NaN    0.56350   -1.17503    0.00006    0.00006    0.00006
    0.00560    0.00000    0.00000    0.00000        NaN    0.90327   -0.38802    0.00005    0.00005    0.00006
    0.00840    0.00000    0.00000    0.00000        NaN    1.23035    0.04979    0.00005    0.00005    0.00006
    0.01120    0.00000    0.00000    0.00000        NaN    1.54819   -0.03145    0.00005    0.00005    0.00006
    0.01400    0.00000    0.00000    0.00000        NaN    1.85871    0.00873    0.00005    0.00005    0.00006
    0.01680    0.00000    0.00000    0.00000        NaN    2.16311   -0.01933    0.00005    0.00005    0.00006
    0.01960    0.00000    0.00000    0.00000        NaN    2.46227    0.01989    0.00005    0.00005    0.00006
    0.02240    0.00000    0.00000    0.00000        NaN    2.75680   -0.04761    0.00005    0.00005    0.00006
    0.02520    0.00000    0.00000    0.00000        NaN    3.04719   -0.05845    0.00005    0.00005    0.00006
    0.02800    0.00000    0.00000    0.00000        NaN    3.33385   -0.03255    0.00005    0.00005    0.00006
    0.03080    0.00000    0.00000    0.00000        NaN    3.61707   -0.02765    0.00005    0.00005    0.00006
    0.03360    0.00000    0.00000    0.00000        NaN    3.89712    0.01588    0.00005    0.00005    0.00006
    0.03640    0.00000    0.00000    0.00000        NaN    4.17424    0.03461    0.00005    0.00004    0.00006
    0.03920    0.00000    0.00000    0.00000        NaN    4.44860    0.00000    0.00005    0.00004    0.00006
    0.04200    0.00000    0.00000    0.00000        NaN    4.72038   -0.01083    0.00005    0.00004    0.00006
    0.04480    0.00000    0.00000    0.00000        NaN    4.98972   -0.00969    0.00005    0.00004    0.00006
    0.04760    0.00000    0.00000    0.00000        NaN    5.25676    0.01746    0.00004    0.00004    0.00006
    0.05040    0.00000    0.00000    0.00000        NaN    5.52159    0.00000    0.00004    0.00004    0.00006
    0.05320    0.00000    0.00000    0.00000        NaN    5.78434   -0.02163    0.00004    0.00004    0.00006
    0.05600    0.00000    0.00000    0.00000        NaN    6.04509    0.01320    0.00004    0.00004    0.00006
    0.05880    0.00000    0.00000    0.00000        NaN    6.30392    0.01214    0.00004    0.00004    0.00006
    0.06160    0.00000    0.00000    0.00000        NaN    6.56091   -0.01121    0.00004    0.00004    0.00006
    0.06440    0.00000    0.00000    0.00000        NaN    6.81614    0.00000    0.00004    0.00004    0.00006
    0.06720    0.00000    0.00000    0.00000        NaN    7.06966    0.00000    0.00004    0.00004    0.00006
    0.07000    0.00000    0.00000    0.00000        NaN    7.32154    0.02700    0.00004    0.00004    0.00006
    0.07280    0.00000    0.00000    0.00000        NaN    7.57183    0.00000    0.00004    0.00004    0.00006
    0.07560    0.00000    0.00000    0.00000        NaN    7.82059    0.00789    0.00004    0.00004    0.00006
    0.07840    0.00000    0.00000    0.00000        NaN    8.06785   -0.00741    0.00004    0.00004    0.00006
    0.08120    0.00000    0.00000    0.00000        NaN    8.31367    0.00000    0.00004    0.00004    0.00006
    0.08400    0.00000    0.00000    0.00000        NaN    8.55808   -0.01317    0.00004    0.00004    0.00006
    0.08680    0.00000    0.00000    0.00000        NaN    8.80113    0.00000    0.00004    0.00004    0.00006
    0.08960    0.00000    0.00000    0.00000        NaN    9.04286   -0.01180    0.00004    0.00004    0.00006
    0.09240    0.00000    0.00000    0.00000        NaN    9.28329   -0.01120    0.00004    0.00004    0.00006
    0.09520    0.00000    0.00000    0.00000        NaN    9.52246    0.00000    0.00004    0.00004    0.00006
    0.09800    0.00000    0.00000    0.00000        NaN    9.76039   -0.01013    0.00004    0.00004    0.00006
    0.10080    0.00000    0.00000    0.00000        NaN    9.99713    0.00000    0.00004    0.00004    0.00006
    0.10360    0.00000    0.00000    0.00000        NaN   10.23270    0.00000    0.00004    0.00004    0.00006
    0.10640    0.00000    0.00000    0.00000        NaN   10.46711    0.00000    0.00004    0.00004    0.00006
    0.10920    0.00000    0.00000    0.00000        NaN   10.70041    0.00000    0.00004    0.00004    0.00006
    0.11200    0.00000    0.00000    0.00000        NaN   10.93261    0.00000    0.00004    0.00004    0.00006
    0.11480    0.00000    0.00000    0.00000        NaN   11.16373    0.00774    0.00004    0.00004    0.00006
    0.11760    0.00000    0.00000    0.00000        NaN   11.39380   -0.00743    0.00004    0.00004    0.00006
    0.12040    0.00000    0.00000    0.00000        NaN   11.62283   -0.00714    0.00004    0.00004    0.00006
    0.12320    0.00000    0.00000    0.00000        NaN   11.85085    0.00687    0.00004    0.00004    0.00006
    0.12600    0.00000    0.00000    0.00000        NaN   12.07788   -0.00661    0.00004    0.00004    0.00006
    0.12880    0.00000    0.00000    0.00000        NaN   12.30393    0.00000    0.00004    0.00004    0.00006
    0.13160    0.00000    0.00000    0.00000        NaN   12.52902    0.00000    0.00004    0.00004    0.00006
    0.13440    0.00000    0.00000    0.00000        NaN   12.75317    0.00000    0.00004    0.00004    0.00006
    0.13720    0.00000    0.00000    0.00000        NaN   12.97640    0.00000    0.00004    0.00004    0.00006
    0.14000    0.00000    0.00000    0.00000        NaN   13.19871    0.00000    0.00004    0.00004    0.00006
    0.14280    0.00000    0.00000    0.00000        NaN   13.42013    0.00000    0.00004    0.00004    0.00006
    0.14560    0.00000    0.00000    0.00000        NaN   13.64067    0.00000    0.00004    0.00004    0.00006
    0.14840    0.00000    0.00000    0.00000        NaN   13.86034    0.00000    0.00004    0.00004    0.00006
    0.15120    0.00000    0.00000    0.00000        NaN   14.07915    0.00000    0.00004    0.00004    0.00006
    0.15400    0.00000    0.00000    0.00000        NaN   14.29713    0.00000    0.00004    0.00004    0.00006
    0.15680    0.00000    0.00000    0.00000        NaN   14.51428    0.00000    0.00004    0.00004    0.00006
    0.15960    0.00000    0.00000    0.00000        NaN   14.73061    0.00000    0.00004    0.00004    0.00006
    0.16240    0.00000    0.00000    0.00000        NaN   14.94613    0.00000    0.00004    0.00004    0.00006
    0.16520    0.00000    0.00000    0.00000        NaN   15.16086    0.00000    0.00004    0.00004    0.00006
    0.16800    0.00000    0.00000    0.00000        NaN   15.37481    0.00000    0.00004    0.00004    0.00006
    0.17080    0.00000    0.00000    0.00000        NaN   15.58799    0.00000    0.00004    0.00004    0.00006
    0.17360    0.00000    0.00000    0.00000        NaN   15.80040    0.00773    0.00004    0.00004    0.00006
    0.17640    0.00000    0.00000    0.00000        NaN   16.01206    0.00753    0.00004    0.00004    0.00006
    0.17920    0.00000    0.00000    0.00000        NaN   16.22299    0.00000    0.00004    0.00004    0.00006
    0.18200    0.00000    0.00000    0.00000        NaN   16.43317    0.00000    0.00004    0.00004    0.00006
    0.18480    0.00000    0.00000    0.00000        NaN   16.64264    0.00697    0.00004    0.00004    0.00006
    0.18760    0.00000    0.00000    0.00000        NaN   16.85139    0.00680    0.00004    0.00004    0.00006
    0.19040    0.00000    0.00000    0.00000        NaN   17.05944    0.00000    0.00004    0.00004    0.00006
    0.19320    0.00000    0.00000    0.00000        NaN   17.26678    0.00647    0.00004    0.00004    0.00006
    0.19600    0.00000    0.00000    0.00000        NaN   17.47344    0.00000    0.00004    0.00004    0.00006
    0.19880    0.00000    0.00000    0.00000        NaN   17.67942   -0.00617    0.00004    0.00004    0.00006
    0.20160    0.00000    0.00000    0.00000        NaN   17.88472    0.00000    0.00004    0.00004    0.00006
    0.20440    0.00000    0.00000    0.00000        NaN   18.08936    0.00000    0.00004    0.00004    0.00006
    0.20720    0.00000    0.00000    0.00000        NaN   18.29333    0.00000    0.00004    0.00004    0.00006
    0.21000    0.00000    0.00000    0.00000        NaN   18.49666    0.00000    0.00004    0.00004    0.00006
    0.21280    0.00000    0.00000    0.00000        NaN   18.69934    0.00000    0.00004    0.00004    0.00006
    0.21560    0.00000    0.00000    0.00000        NaN   18.90138    0.00000    0.00004    0.00004    0.00006
    0.21840    0.00000    0.00000    0.00000        NaN   19.10279    0.00000    0.00004    0.00004    0.00006
    0.22120    0.00000    0.00000    0.00000        NaN   19.30358    0.00000    0.00004    0.00004    0.00006
    0.22400    0.00000    0.00000    0.00000        NaN   19.50375    0.00000    0.00004    0.00004    0.00006
    0.22680    0.00000    0.00000    0.00000        NaN   19.70330    0.00000    0.00004    0.00004    0.00006
    0.22960    0.00000    0.00000    0.00000        NaN   19.90225    0.00000    0.00004    0.00004    0.00006
    0.23240    0.00000    0.00000    0.00000        NaN   20.10060    0.00000    0.00004    0.00004    0.00006
    0.23520    0.00000    0.00000    0.00000        NaN   20.29836    0.00000    0.00004    0.00004    0.00006
    0.23800    0.00000    0.00000    0.00000        NaN   20.49552    0.00000    0.00004    0.00004    0.00006
    0.24080    0.00000    0.00000    0.00000        NaN   20.69211    0.00000    0.00004    0.00004    0.00006
    0.24360    0.00000    0.00000    0.00000        NaN   20.88811    0.00000    0.00004    0.00004    0.00006
    0.24640    0.00000    0.00000    0.00000        NaN   21.08355    0.00000    0.00004    0.00004    0.00006
    0.24920    0.00000    0.00000    0.00000        NaN   21.27841    0.00000    0.00004    0.00004    0.00006
    0.25200    0.00000    0.00000    0.00000        NaN   21.47272    0.00000    0.00004    0.00004    0.00006
    0.25480    0.00000    0.00000    0.00000        NaN   21.66647    0.00000    0.00004    0.00004    0.00006
    0.25760    0.00000    0.00000    0.00000        NaN   21.85966    0.00000    0.00004    0.00004    0.00006
    0.26040    0.00000    0.00000    0.00000        NaN   22.05231    0.00000    0.00004    0.00004    0.00006
